date,Equity,Rates,Credit,Commodity,Liquidity,FX
2015-01-09,-0.006505632540949824,-0.0015199995040893555,0.0019842157451654407,-0.04807687994087695,0.00067454093905448,0.009442255084126883
2015-01-16,-0.012416808368938992,-0.0015599989891052245,0.004017550258244379,-0.009037764198271736,-0.009686614454942778,0.006308398806382343
2015-01-23,0.01604422245446413,1.999974250793457e-05,-0.0008384705743394449,-0.029889669257251228,0.010238665296653245,0.026805052387768757
2015-01-30,-0.027697398520154404,-0.0014200007915496826,0.002386900964404415,0.026175811600119614,-0.012935172585286304,-0.0021052310341282965
2015-02-06,0.030315931791539796,0.002630000114440918,-0.008671334246758144,0.0531975245739027,0.00877443614288434,-0.001054916669791961
2015-02-13,0.020199769455667038,0.0008299994468688965,-0.002071122421776983,0.03796200490544721,0.007518800455380842,-0.005279831215551867
2015-02-20,0.006347220852619406,0.001119999885559082,-0.002148494778672516,-0.023052130406251536,0.0013274315887974342,0.0005308179764091925
2015-02-27,-0.002748447469043902,-0.0013099980354309081,0.001180905373793617,0.012182465442145629,0.003356643445253127,0.010610079575596787
2015-03-06,-0.015794720947671648,0.0023799991607666017,-0.0022636216757334904,-0.02245748664511804,-0.006971512876318875,0.024881918599286346
2015-03-13,-0.008622822503050243,-0.0012800002098083496,0.003694245143659125,-0.04475689137504524,-0.0026315796078077106,0.027760694614071157
2015-03-20,0.026638841878810382,-0.001820000410079956,0.003440582462016284,0.012253736492761957,0.009312498569488526,-0.02412038398065952
2015-03-27,-0.02233294243349393,0.00018000006675720215,-0.0005213291513226359,0.01140210933580943,-0.007872500633585444,-0.006332373847331096
2015-04-03,0.002882039645399015,-0.0004399991035461426,1.394626227224638e-06,-0.0043207029159818555,0.0013271387744873465,0.0015417979696510375
2015-04-10,0.01698150826314504,0.00046999931335449217,-0.0030224433862239553,0.028431039383940204,0.007123381532782797,0.020012283450165036
2015-04-17,-0.00993317334952526,-0.0010099995136260986,0.002739338955591447,0.04689962064867159,-0.0052066789648706705,-0.0188147978475266
2015-04-24,0.01754293764347592,0.0006700003147125244,-0.0015993012282541907,0.00859378297025648,0.0057595404676821504,-0.0061525686502753585
2015-05-01,-0.004438752888209829,0.0020000004768371583,-0.0035368061145667207,0.019314622399475567,-0.00166802216714691,-0.01671476627933499
2015-05-08,0.0037044516878821376,0.00032999992370605466,-0.0009389761514032313,0.0010815199532490105,-0.0006299206685632553,-0.005351543755496846
2015-05-15,0.003133066729614109,-9.000062942504883e-05,0.00021561202288064574,0.01451691891353546,0.001866250214039078,-0.01740691539131134
2015-05-22,0.0015687714196530589,0.0007399988174438477,-0.0007859225390305369,-0.019589175833133354,0.001009693043978177,0.03081385833572381
2015-05-29,-0.008781579777183746,-0.0011999988555908203,0.0015146014167425892,-0.006426348935258064,-0.007048639826932879,0.00937403922355795
2015-06-05,-0.006908932468738804,0.0030699992179870606,-0.0025794003916516928,-0.014142867081625266,-0.001336704774132158,-0.006191374273471606
2015-06-12,0.0006116260035893273,-0.0001699995994567871,0.0009103158181824889,0.011666022306426216,0.0015130200704484122,-0.013913366959389495
2015-06-19,0.0075831174092608755,-0.0011800003051757812,0.0017809926133398601,-0.01456854974428734,-0.0006531215844115646,-0.00926613532169418
2015-06-26,-0.00402845512980643,0.002090001106262207,-0.002111624938505169,0.009709193743312916,-0.00021490121580495237,0.014666860840941043
2015-07-03,-0.011758305322569829,-0.0008300018310546875,0.0013416316942998496,-0.0044292300891253245,-0.009878745960488766,0.006703670068767709
2015-07-10,-7.700002268851147e-05,0.00024000167846679687,-0.0002122257217475887,-0.04225349041152482,-0.00011911556282798719,-0.0008323986114517901
2015-07-17,0.02408710913307055,-0.0006800007820129395,0.0013131233988365743,-0.025873687580011517,0.014497920785986301,0.019056564139509513
2015-07-24,-0.02209588487377101,-0.0007800006866455078,0.005819790390487273,-0.04469645404798439,-0.00748953970888433,-0.006335609469804604
2015-07-31,0.011631854726900315,-0.0006599998474121093,-0.0005507220946392999,-0.02136356676154083,0.005895196188301122,0.0013369486391252572
2015-08-07,-0.012486699765089648,-0.00029999971389770507,0.002828708829575338,-0.034251258755313874,-0.005239275865327653,0.0019512663721106271
2015-08-14,0.006724187509187907,0.00021000146865844725,0.0005522275889625616,-0.001094697606488948,0.002091114284011042,-0.010147579833373221
2015-08-21,-0.0576847787566821,-0.0014200019836425781,0.005932963019008225,-0.046326240126745466,-0.05923616856323724,-0.018017995953900634
2015-08-28,0.009122772115701894,0.0013200020790100097,-0.005210494048280501,0.05038639879062323,0.003531932574172758,0.013497825103676142
2015-09-04,-0.0340143018800364,-0.000580000877380371,0.0014515747224662645,-0.0021331841715214184,-0.0033589252423284702,0.001248597917177685
2015-09-11,0.020731659431180605,0.0005500006675720215,-0.002481896155116625,-0.0038369663584826297,0.008273378777630997,-0.010807449644055445
2015-09-18,-0.001540001252418155,-0.0005299997329711914,0.003309437599390508,-0.016177414540580193,0.001982758719912603,-0.0034667698559817106
2015-09-25,-0.013631079747100094,0.00037999868392944334,0.00443696368496635,0.012360562300400169,-0.0030071815783001225,0.014863968202009303
2015-10-02,0.01036587026911473,-0.0017900002002716065,0.007424566514064285,-0.010386480108821705,0.005673158784830008,-0.0045704251309268695
2015-10-09,0.03255679616973861,0.0011000001430511474,-0.010105173004611084,0.059371916297758176,0.009216811155457017,-0.01064389286206191
2015-10-16,0.009042662661814749,-0.0007599997520446778,0.0008736841760077496,-0.027165888114057513,0.005942622195664266,-0.002847765531262092
2015-10-23,0.02067764031217334,0.0005999994277954101,-0.0028852028729331736,-0.032826834044826114,0.001960133372460382,0.026761146126468294
2015-10-30,0.0020288679258158027,0.0006800007820129395,-0.00031268907673906443,0.017782649104252757,-0.002109265750580924,-0.0012362495823561304
2015-11-06,0.009541321716803886,0.0018199992179870606,-0.0016121848827944096,-0.026854528120356047,0.002455208314875801,0.022795325254595156
2015-11-13,-0.036280446780145414,-0.0005299997329711914,0.005574183609326683,-0.040149236551444534,-0.020062805410374775,-0.0017144593794000684
2015-11-20,0.032688370736915884,-0.00017999887466430665,0.0008366243997531275,-0.005184428268726227,0.011479082854066076,0.005859196318529936
2015-11-27,0.0004500282801465083,-0.00037000179290771487,0.00018296399015582665,-0.0012732224156906113,0.0011312229328647172,0.004519402928807814
2015-12-04,0.0007558616068910062,0.0005000019073486328,-0.0008747856176589963,-0.017581378170499762,0.001025130516827777,-0.01669664292136408
2015-12-11,-0.03792146470606228,-0.001360001564025879,0.012285851262299669,-0.052631496543932066,-0.03234300708507232,-0.007930846887629794
