date,DBC,EEM,EFA,GLD,HYG,IEF,IWM,LQD,QQQ,SPY,TIP,TLT,VNQ
2015-01-09,-0.02742733183029067,0.012896385649314501,-0.015516582430831871,0.027875177543257523,0.005580377128032721,0.013516995296461998,-0.011435262490745335,0.008929686857268138,-0.003108682543081387,-0.005743902656154876,0.0031049228704571608,0.029453430236564992,0.035392837508898545
2015-01-16,-0.010152284586915528,0.005602406483137479,0.01928248762557061,0.04485753377971946,-0.005882047422992032,0.01018819735002996,-0.007399730635625379,0.004135401216403212,-0.017540281526358337,-0.012827687901348583,0.006366913264827634,0.016174601587650717,0.025959898648916235
2015-01-23,-0.014814722449398299,0.03215999926580593,0.009376558198759488,0.013956960175643074,0.004912481882041186,0.0015588834950708286,0.0121680104114823,0.007248831399089717,0.03412001122986097,0.016565348471954122,0.004569387344954601,0.011862910102080404,0.006183055220283062
2015-01-30,0.006362018731860486,-0.04268888366481216,-0.002281554624004034,-0.0062787280657984335,0.00244353006323772,0.011991796989035741,-0.020487761100199786,0.013166559218257046,-0.030308966228583478,-0.026931180848040803,0.011458878736912315,0.026043710588964597,-0.015134117480687825
2015-02-06,0.035632089496166586,0.02050219051760971,0.020908080330695133,-0.03896312415957692,0.011962946070932068,-0.022723501394581236,0.035522686966612316,-0.019303318494946597,0.020079073190636176,0.030584403489840373,-0.015307211343933202,-0.051020866903882744,-0.015598479353662653
2015-02-13,0.015538257091828545,0.021346100344843633,0.021119892382714056,-0.005563014464853633,0.0019786418581939635,-0.006305336533949268,0.014356225046122661,-0.0028054293458258384,0.036653297835234966,0.02057874790860814,-0.010539197198992767,-0.02115156412047947,-0.0016430868973890123
2015-02-20,-0.018579182089681012,0.0,0.01895953520228355,-0.0228852729345006,0.0031836960794742186,-0.005411330557344107,0.00699406299367511,0.00024749472802332306,0.014030646529818114,0.00695975798823234,-0.001598079929963414,-0.012872050182371364,-0.005290103415848235
2015-02-27,0.011692766052540104,0.0017211171287492277,0.0010764384243415748,0.0076336302232034026,0.005031806077806511,0.009756033510497586,0.0016345849750643016,0.007778337254482626,-9.262288946798591e-05,-0.0027456503081980665,0.0147585277252551,0.02362912505143644,-0.014655272778406725
2015-03-06,-0.03302150317544783,-0.03632809889100097,-0.019815562342285653,-0.03701793144106491,-0.00936882474341949,-0.018423283418568692,-0.011502755101429396,-0.019124130553596186,-0.009132972512435167,-0.015000551132997031,-0.019011782039680347,-0.044694433150098356,-0.03598448477796157
2015-03-13,-0.03528745652820253,-0.02445218783685288,-0.011283371897759631,-0.00876098115131696,-0.004634571056902792,0.010142584675160826,0.011884240621641506,0.0068813534912817165,-0.019271806211922038,-0.008048274691842217,-0.0041083716575449625,0.026073280917511266,0.025009248561322472
2015-03-20,0.015339270180774855,0.04647531207638189,0.04073548240695457,0.024260484379867053,0.002660988900038408,0.016422905659770892,0.02756686070428005,0.012670748133678966,0.03265242146238756,0.02681453780606069,0.020177517404176948,0.037799815142783855,0.056446257325217575
2015-03-27,-0.001743227150245108,-0.015469350104493906,-0.0079196730542066,0.013119643107980306,0.00033056412573650995,-0.0017539405737347913,-0.01995568602591391,-0.00172870164100547,-0.027734304435085178,-0.022194651034123547,-0.0007914056850977236,-0.0034223435371356636,-0.030665480846830295
2015-04-03,0.006402885326587171,0.045109464482035344,0.0007676683698982778,0.0019120565389469935,0.00439063779027804,0.0043959690888597525,0.01259142279193437,0.004777929223390931,-0.003790429189854283,0.0034025618121633627,0.003343412131544543,-0.00042951099881982646,0.011567000873320632
2015-04-10,0.008675480088900622,0.03976718012651603,0.01641357676441646,0.005985448028389184,0.008954318560022267,-0.0031358024870370427,0.00778176025206001,0.0009047563081026055,0.02501862302349611,0.01743831570755283,-0.0008768796642060206,-0.008490372938441682,-0.027231369377002212
2015-04-17,0.028669738938002398,-0.004198185130404486,-0.004376826948552237,-0.003190503946601475,-0.0026295035243111275,0.008327534792607949,-0.009473156487314727,0.0047682172444660775,-0.016148215982811687,-0.009950728366138306,0.013514900003273267,0.014117689428357227,-0.008724808800053552
